,TITLE,AUTHOR,PAGES,RATING,REVIEWERS,PLACE (COUNTRY),ORIGINAL YEAR,AWARDS,SERIES,GENRES,URL LINKS
795,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,446,4.27,238875,None,2015,"Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017), Rhode Island Teen Book Award Nominee (2017), Evergreen Teen Book Award Nominee (2018), Milwaukee County Teen Book Award Nominee (2016), Dioraphte Jongerenliteratuurprijs Nominee for Vertaald boek (2016)   Lincoln Award Nominee (2018), David Gemmell Morningstar Award Nominee for Best Fantasy Newcomer (2016), Goodreads Choice Award Nominee for Debut Goodreads Author, and for Young Adult Fantasy & Science Fiction (2015), The Magnolia Award Nominee for 9-12 (2018), Prix Elbakin.net for Meilleur roman fantasy traduit Jeunesse (2016), Missouri Gateway Readers Award Nominee (2017), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2015)",1,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes
796,"Walking Disaster (Beautiful, #2)",Jamie McGuire,448,4.18,179961,None,2013,Goodreads Choice Award Nominee for Romance (2013),1,"Romance, New Adult, Contemporary",https://www.goodreads.com/book/show/15745950-walking-disaster
797,Exodus,Leon Uris,608,4.33,95231,Israel,1958,National Jewish Book Award for Fiction (1959),0,"Historical > Historical Fiction, FictionClassics",https://www.goodreads.com/book/show/42697.Exodus
798,House of Leaves,Mark Z. Danielewski,710,4.07,146906,None,2000,"Bram Stoker Award Nominee for Best First Novel (2000), Locus Award Nominee for Best First Novel (2001), New York Public Library Young Lions Fiction Award (2001), Guardian First Book Award Nominee (2000), James Tait Black Memorial Prize Nominee for Fiction (2000)   International Horror Guild Award Nominee for Best First Novel (2000), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2014)",0,"Horror, Fiction, Fantasy, ",https://www.goodreads.com/book/show/24800.House_of_Leaves
799,Pale Fire,Vladimir Nabokov,246,4.14,45435,United States,1962,National Book Award Finalist for Fiction (1963),0,"Fiction, Classics, Poetry",https://www.goodreads.com/book/show/7805.Pale_Fire
800,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,288,4.25,196863,United Kingdom,1926,"Anthony Award Nominee for Best Novel of the Century (2000), CWA Best Ever for Crime Novel (2013)",1,"Mystery, Fiction, Classics, ",https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd
801,"Dandelion Wine (Green Town, #1)",Ray Bradbury,239,4.07,61721,United States,1957,No Award,1,"Fiction, Classics, Science Fiction",https://www.goodreads.com/book/show/50033.Dandelion_Wine
802,Mystic River,Dennis Lehane,416,4.15,138747,United States,2001,"Barry Award for Best Novel (2002), Macavity Award Nominee for Best Mystery Novel (2002), Anthony Award for Best Novel (2002), Hammett Prize Nominee (2001), Dilys Award (2002)   Massachusetts Book Award for Fiction (2002), Deutscher Krimi Preis for 3. Platz International (2003), Prix des libraires du QuÇ¸bec for LaurÇ¸ats hors QuÇ¸bec (2003)",0,"Mystery, Fiction, Thriller",https://www.goodreads.com/book/show/21671.Mystic_River
803,I Am the Messenger,Markus Zusak,357,4.03,150207,Australia,2002,"New South Wales Premier's Literary Award for Ethel Turner Prize for Young People's Literature (2003), Children's Book Council of Australia Award for Book of the Year: Older Readers (2003), Michael L. Printz Award Nominee (2006), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2007), Lincoln Award Nominee (2009)   Goldener Lufti (2006), Literaturpreis der Jury der jungen Leser for Jugendbuch (2007), Margaret A. Edwards Award (2014)",0,"Young Adult, Fiction, Mystery, ",https://www.goodreads.com/book/show/19057.I_Am_the_Messenger
804,Gift from the Sea,Anne Morrow Lindbergh,130,4.15,45917,None,1955,National Book Award Finalist for Nonfiction (1956),0,NonfictionAutobiography > MemoirClassics,https://www.goodreads.com/book/show/77295.Gift_from_the_Sea
805,Tender Is the Night,F. Scott Fitzgerald,315,3.8,122721,France,1934,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/46164.Tender_Is_the_Night
806,Revolutionary Road,Richard Yates,355,3.91,83343,United States,1961,National Book Award Finalist for Fiction (1962),0,"Fiction, ClassicsHistorical > Historical Fiction",https://www.goodreads.com/book/show/48328.Revolutionary_Road
807,Nausea,Jean-Paul Sartre,178,3.92,97759,None,1938,Grand Prix des meilleurs romans du demi-siÇùcle Nominee (1950),0,"Philosophy, Fiction, Classics, ",https://www.goodreads.com/book/show/298275.Nausea
808,Wild Swans: Three Daughters of China,Jung Chang,562,4.25,103140,China,1991,"NCR Book Award (1992), British Book Award (1993)",0,"Nonfiction, History, Cultural > China, ",https://www.goodreads.com/book/show/1848.Wild_Swans
809,"The Awakening (Darkest Powers, #2)",Kelley Armstrong,360,4.13,113610,United States,2009,Romantic Times Reviewers' Choice Award (RT Award) for Best Young Adult Paranormal/Fantasy Novel (2009),1,"Young Adult, Fantasy, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/5391115-the-awakening
810,The Iliad,Homer,683,3.89,392471,Troy,-800,No Award,0,"Classics, Poetry, Fiction, ",https://www.goodreads.com/book/show/1371.The_Iliad
811,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,250,4.21,254589,Frogstar World B,1980,No Award,1,"Science Fiction, Fiction, Humor, ",https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe
812,Cold Sassy Tree,Olive Ann Burns,405,4.02,100185,United States,1984,No Award,0,"Fiction, Historical > Historical FictionClassics",https://www.goodreads.com/book/show/40389231-cold-sassy-tree
813,Holy Bible: New International Version,Anonymous,1248,4.59,71943,None,1973,ECPA Christian Book Award for Bibles (2007),0,ReligionChristianNonfiction,https://www.goodreads.com/book/show/280111.Holy_Bible
814,Ethan Frome,Edith Wharton,99,3.42,116751,United States,1911,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/5246.Ethan_Frome
815,"Forrest Gump (Forrest Gump, #1)",Winston Groom,248,4.04,63354,United States,1986,No Award,1,None,https://www.goodreads.com/book/show/186190.Forrest_Gump
816,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,419,4.12,69192,Italy,1996,"Arthur C. Clarke Award (1998), Kurd-LaÇ?witz-Preis for Foreign Novel (2001), British Science Fiction Association Award for Best Novel (1997), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1997), James Tiptree Jr. Award (1996)   Puddly Award for Science Fiction (2001)",1,"Science Fiction, Fiction, Fantasy",https://www.goodreads.com/book/show/334176.The_Sparrow
817,"The Reckoning (Darkest Powers, #3)",Kelley Armstrong,391,4.17,116337,None,2010,"Teen Read Award Nominee for Best Read (2010), Goodreads Choice Award Nominee for Young Adult Fantasy, for Favorite Book and for Goodreads Author (2010)",1,"Young Adult, Fantasy, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/6468666-the-reckoning
818,"The Dark Tower (The Dark Tower, #7)",Stephen King,1050,4.25,158421,None,2004,British Fantasy Award for Best Novel (2005),1,"Fantasy, Fiction, Horror, ",https://www.goodreads.com/book/show/5091.The_Dark_Tower
819,"Dreamfever (Fever, #4)",Karen Marie Moning,386,4.38,97066,Ireland,2009,No Award,1,"Fantasy > Urban Fantasy, Fantasy, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/6050298-dreamfever
820,The Forgotten Garden,Kate Morton,648,4.13,206892,Australia,2008,"Australian Book Industry Award (ABIA) for General Fiction (2009), ‘?ª†ñ?†ÏõŠü? Nominee for Translated Fiction (2012)",0,"Fiction, Historical > Historical Fiction, Mystery, ",https://www.goodreads.com/book/show/3407877-the-forgotten-garden
821,"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard,506,3.99,151971,Canada,2011,Goodreads Choice Award Nominee for Romance and for Goodreads Author (2011),1,"Romance, Romance > Contemporary RomanceContemporary",https://www.goodreads.com/book/show/10140661-gabriel-s-inferno
822,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,243,4.22,217107,None,1987,Margaret A. Edwards Award (2011),1,"Fantasy, Fiction, Humor, ",https://www.goodreads.com/book/show/386372.Mort
823,"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,432,4.09,356378,United Kingdom,1984,No Award,1,"Fiction, Thriller, Mystery",https://www.goodreads.com/book/show/19691.The_Hunt_for_Red_October
824,"Absalom, Absalom!",William Faulkner,316,3.97,40883,United States,1936,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/373755.Absalom_Absalom_
825,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,144,4.14,60510,None,1977,National Book Award Finalist for Religion/Inspiration (Paperback) (1980),0,FictionPhilosophySpirituality,https://www.goodreads.com/book/show/29946.Illusions
826,"Reflected in You (Crossfire, #2)",Sylvia Day,338,4.31,328034,None,2012,No Award,1,"Romance, Adult Fiction > Erotica, Romance > Contemporary Romance",https://www.goodreads.com/book/show/13596809-reflected-in-you
827,The Sorrows of Young Werther,Johann Wolfgang von Goethe,149,3.68,102108,Germany,1774,×?×¯×¯×ú×«×¨-×ü×æØ×¬×ñ×«×û×§Ø? ×?Ø×ñ×ý×æ×î×¨ ×?×æØ?×ªØ?Ø×ñØŸ×úØ? for ×œØ?×ð×¯×¯×ñ ××û×§×¨×¯×¨Ø×ï×ú (1998),0,"Classics, Fiction, European Literature > German Literature",https://www.goodreads.com/book/show/16640.The_Sorrows_of_Young_Werther
828,The Hotel New Hampshire,John Irving,520,3.91,61296,United States,1981,None,None,"Fiction, ContemporaryLiterature",https://www.goodreads.com/book/show/11768.The_Hotel_New_Hampshire
829,"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,554,4.26,59914,None,1999,"Locus Award Nominee for Best First Novel (2001), ALA Alex Award (2001), Aurealis Award Nominee for Fantasy Novel (1999)",1,"Fantasy, RomanceFiction",https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
830,"Kane & Abel (Kane & Abel, #1)",Jeffrey Archer,592,4.31,110447,United States,1971,None,None,"Fiction, Historical > Historical FictionThriller",https://www.goodreads.com/book/show/78983.Kane_Abel
831,A Million Little Pieces,James Frey,515,3.66,238362,None,2003,No Award,0,"Fiction, ContemporaryPsychology",https://www.goodreads.com/book/show/1241.A_Million_Little_Pieces
832,The Bridges of Madison County,Robert James Waller,224,3.65,87258,United States,1992,None,None,"Fiction, RomanceClassics",https://www.goodreads.com/book/show/83674.The_Bridges_of_Madison_County
833,The Gargoyle,Andrew Davidson,468,3.95,47854,United States,2008,"Sunburst Award for Canadian Novel (2009), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",0,FictionFantasyHistorical > Historical Fiction,https://www.goodreads.com/book/show/2595138-the-gargoyle
834,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",Laurell K. Hamilton,355,4.02,140397,United States,1993,No Award,1,"Fantasy > Urban Fantasy, Paranormal > Vampires, Fantasy, ",https://www.goodreads.com/book/show/30281.Guilty_Pleasures
835,"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,1531,4.44,53024,Sweden,2005,None,None,FictionMysteryThriller,https://www.goodreads.com/book/show/7822895-the-millennium-trilogy
836,The Pact,Jodi Picoult,512,4.01,286673,None,1998,No Award,0,"Fiction, RomanceContemporary",https://www.goodreads.com/book/show/10916.The_Pact
837,"Specials (Uglies, #3)",Scott Westerfeld,384,3.76,179553,None,2006,No Award,1,"Young Adult, Science Fiction > Dystopia, Science Fiction, ",https://www.goodreads.com/book/show/24765.Specials
838,"The Golden Lily (Bloodlines, #2)",Richelle Mead,418,4.3,115529,United States,2012,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012),1,"Young Adult, Paranormal > Vampires, Fantasy, ",https://www.goodreads.com/book/show/8709523-the-golden-lily
839,"One Foot in the Grave (Night Huntress, #2)",Jeaniene Frost,357,4.29,100233,United States,2008,No Award,1,"Fantasy > Paranormal, Paranormal > Vampires, Fantasy > Urban Fantasy, ",https://www.goodreads.com/book/show/2168860.One_Foot_in_the_Grave
840,The Story of Edgar Sawtelle,David Wroblewski,566,3.62,96370,United States,2008,"John Sargent, Sr. First Novel Prize (2008), Colorado Book Award for Literary Fiction (2009), Sakura Medal Nominee for High School Book (2010), Indies Choice Book Award for Best Author Discovery (2009), Puddly Award for Fiction (2009)   The Center for Fiction Nominee (2008)",0,"Fiction, AnimalsAnimals > Dogs",https://www.goodreads.com/book/show/2731276-the-story-of-edgar-sawtelle
841,"Lover Mine (Black Dagger Brotherhood, #8)",J.R. Ward,528,4.39,108419,United States,2010,"All About Romance (AAR) Annual Reader Poll for Guiltiest Pleasure Romance & Honorable Mention for Best Paranormal Romance (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Vampire Romance (2010), Goodreads Choice Award for Romance (2010)",1,"Fantasy > Paranormal, Romance > Paranormal Romance, Romance, ",https://www.goodreads.com/book/show/7046495-lover-mine
842,The Long Walk,Richard Bachman,370,4.09,148910,United States,1979,No Award,0,"Horror, Fiction, Science Fiction > Dystopia",https://www.goodreads.com/book/show/9014.The_Long_Walk
843,The Bonfire of the Vanities,Tom Wolfe,690,3.87,75789,United States,1987,"Ambassador Book Award for Fiction (1988), National Book Critics Circle Award Nominee for Fiction (1987)",0,None,https://www.goodreads.com/book/show/2666.The_Bonfire_of_the_Vanities
844,Christy,Catherine Marshall,512,4.23,51892,United States,1967,No Award,0,None,https://www.goodreads.com/book/show/35879889-christy
845,"84, Charing Cross Road",Helene Hanff,97,4.14,61869,None,1970,No Award,0,"Nonfiction, Writing > Books About BooksAutobiography > Memoir",https://www.goodreads.com/book/show/368916.84_Charing_Cross_Road
846,"Burned (House of Night, #7)",P.C. Cast,323,3.96,152911,United States,2010,"Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011), Teen Read Award Nominee for Best Series (2010), Goodreads Choice Award Nominee for Young Adult Fantasy and for Favorite Book (2010)",1,"Young Adult, Paranormal > Vampires, Fantasy, ",https://www.goodreads.com/book/show/6917952-burned
847,Shakespeare's Sonnets,William Shakespeare,488,4.25,93831,None,1609,Filter vertaalprijs Nominee (2021),0,None,https://www.goodreads.com/book/show/42038.Shakespeare_s_Sonnets
848,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,448,4.35,214564,Erilea,2014,No Award,1,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/18243700-the-assassin-s-blade
849,The Fall,Albert Camus,147,4.03,83490,Netherlands,1956,No Award,0,"Fiction, Philosophy, Classics, ",https://www.goodreads.com/book/show/11991.The_Fall
850,"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,295,4,212687,United States,2005,No Award,1,"Fantasy, Paranormal > Vampires, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/170210.Dead_as_a_Doornail
851,Definitely Dead (Sookie Stackhouse #6),Charlaine Harris,324,4,198408,United States,2005,No Award,1,"Fantasy, Paranormal > Vampires, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/140079.Definitely_Dead
852,Still Life with Woodpecker,Tom Robbins,288,4.02,77311,United States,1980,No Award,0,"Fiction, HumorLiterature",https://www.goodreads.com/book/show/9566.Still_Life_with_Woodpecker
853,"Crank (Crank, #1)",Ellen Hopkins,537,4.16,133550,United States,2004,"Soaring Eagle Book Award (2008), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2011), Lincoln Award (2009), Goldener Lufti (2012), Green Mountain Book Award (2009)   Missouri Gateway Readers Award (2007)",1,"Young Adult, Poetry, Fiction",https://www.goodreads.com/book/show/270730.Crank
854,Orlando,Virginia Woolf,336,3.86,71864,United Kingdom,1928,None,None,"Classics, Fiction, Historical > Historical Fiction",https://www.goodreads.com/book/show/18839.Orlando
855,The Lucky One,Nicholas Sparks,326,4.12,341936,United States,2007,No Award,0,"Romance, Fiction, Womens Fiction > Chick Lit",https://www.goodreads.com/book/show/3063499-the-lucky-one
856,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,270,3.88,263478,None,2003,"California Book Award for Young Adult (Silver) (2003), Maryland Black-Eyed Susan Book Award for Grade 6-9 (2006), Rhode Island Teen Book Award Nominee (2005), Vermont Golden Dome Book Award Nominee (2005), Child Magazine Best Book of the Year   Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2004), Charlie May Simon Children's Book Award Nominee (2006), New Mexico Land of Enchantment Award for Young Adult (2007), Judy Lopez Memorial Award for Children's Literature Nominee (2004), Chapman Award for Shared Reading Nominee for Fiction (2004), William Allen White Children's Book Award (2006), Washington State Sasquatch Award (2006), Bluestem Book Award Nominee (2019), Rebecca Caudill Young Readers' Book Award Nominee (2006)",1,"Young Adult, Science Fiction > Dystopia, Fantasy, ",https://www.goodreads.com/book/show/307791.The_City_of_Ember
857,Where the Heart Is,Billie Letts,376,4.03,243181,United States,1995,Eliot Rosewater Indiana High School Book Award (2000),0,"Fiction, Womens Fiction > Chick LitRomance",https://www.goodreads.com/book/show/5168.Where_the_Heart_Is
